"from","to","ownership_id","date","amount"
"62239543380","65ی555","495221","2011-12-28","27359000"
"91920716048","4795521359","707527","2006-06-27","310753000"
"91920716048","4024145310","791250","1979-12-14","791135000"
"48873536158","92ج398","607407","2010-01-17","128403000"
"48873536158","86ر020","132780","2005-06-09","395723000"
"48873536158","31ط727","904378","2015-07-02","328204000"
"71178909584","3503824679","534005","1995-06-16","563642000"
"71178909584","6198438598","943553","2018-04-22","588532000"
"56147327386","1738450079","262699","1989-03-02","701726000"
"56147327386","90و137","902494","2013-03-25","310153000"
"56147327386","85ب482","269242","1970-01-30","356905000"
"56147327386","92س772","229085","1996-10-31","215515000"
"36309934739","6030836704","764983","1997-06-13","610957000"
"17308428783","35ب458","677122","1995-01-02","266316000"
"12548111271","2724936501","885886","2008-04-29","767993000"
"12548111271","8525033684","918173","1982-03-25","749049000"
"68439189172","2075110756","381013","2006-07-15","200742000"
"68439189172","43ر847","207828","2003-03-11","323449000"
"68439189172","59ق367","879932","1981-04-19","365276000"
"68439189172","22ق089","221379","1988-06-18","85973000"
"22793485821","5532405450","369258","1994-08-26","498301000"
"22793485821","4492846114","376617","2002-01-14","382437000"
"22793485821","71ق362","226796","2002-09-08","96861000"
"22793485821","39ی588","259307","1972-02-24","71817000"
"22793485821","93ج680","249173","2015-06-21","28516000"
"86049575720","12ب736","950081","2008-02-02","29969000"
"95123825312","4880585766","568073","2001-05-04","323164000"
"95123825312","6316251166","169657","1982-01-16","791336000"
"98163128837","92ی032","436623","2014-01-28","71155000"
"98163128837","70ی651","803402","2000-12-24","104577000"
"23926652393","25ب233","501918","1979-05-11","389890000"
"45847443887","6016457646","395789","1975-09-10","282729000"
"45847443887","6152665074","164785","2011-03-18","186625000"
"45847443887","38ب930","346319","2010-09-11","394865000"
"96902948639","60ج582","363378","2002-03-22","29528000"
"96902948639","44ی334","126988","1996-12-13","178806000"
"28280626699","7761482435","763869","2018-04-23","588713000"
"28280626699","23ق194","296602","2001-08-04","196803000"
"28280626699","84ب844","494221","2016-02-12","40869000"
"28280626699","32ی750","746797","2015-11-06","35770000"
"31740261657","1861520332","353220","2000-04-07","320978000"
"31740261657","32ر897","454767","1984-04-29","377719000"
"31740261657","48و868","428463","1999-04-20","129511000"
"31740261657","90و426","227018","1990-07-04","352904000"
"16314422251","7485847942","109303","1995-02-24","708594000"
"16314422251","1370545404","633341","2016-03-30","181322000"
"94574848895","3671905340","707448","1991-01-18","640720000"
"94574848895","90و537","409978","1987-10-25","67723000"
"94574848895","72ر619","929222","2013-05-31","389782000"
"54068304996","96و004","951901","2006-08-17","24515000"
"79159436151","87ط614","233616","1977-02-24","331977000"
"79159436151","86ی661","395032","1991-02-28","82902000"
"44993428385","33ج278","701330","2009-07-19","328647000"
"44993428385","62ی310","126982","2017-11-08","21294000"
"58716127795","5629762873","309408","1994-09-13","239854000"
"58716127795","12ب338","675369","1984-06-03","317068000"
"39650440898","7349594680","258606","1999-05-21","469201000"
"39650440898","6624882635","750686","1984-12-19","406699000"
"39650440898","42ی451","702279","1975-06-23","258432000"
"80798039889","4128717096","927506","2015-08-11","568312000"
"80798039889","2697771063","387935","1977-03-16","678892000"
"80798039889","15ق071","539708","1988-01-30","384914000"
"80798039889","82ی158","655895","1984-08-27","149611000"
"80798039889","96ق675","429733","2003-03-10","259077000"
"38767995655","6559878926","978734","2011-01-30","245321000"
"38767995655","4977155308","648664","1997-08-29","107891000"
"36443872827","94ق938","765670","2016-03-02","105113000"
"36443872827","89و972","373167","1987-04-29","189391000"
"26700353928","4804691325","459279","2014-05-05","545033000"
"26700353928","2790360160","671639","1991-09-14","571133000"
"26700353928","33و793","913871","1987-01-29","248433000"
"30072971018","7837935054","116544","2002-09-12","319983000"
"85834683163","7170383811","549682","1984-05-21","569730000"
"85834683163","32ی647","390115","2003-02-14","318991000"
"85834683163","59ر593","272588","2003-11-17","235583000"
"85834683163","51ط713","300122","1997-07-02","386061000"
"26888564025","9427058095","309659","1987-09-04","641760000"
"26888564025","4810397402","296894","1985-05-06","302130000"
"26888564025","88ب989","746669","1997-02-20","96691000"
"43623645065","4045738054","654010","2015-05-31","137945000"
"43623645065","72و387","182155","1977-03-21","360623000"
"68481956521","3082756572","462826","2012-03-26","335967000"
"68481956521","13و442","190843","1981-05-17","350216000"
"68481956521","93ج568","791513","1983-06-02","86288000"
"68481956521","48ب395","207263","1984-07-15","122433000"
"98027166314","2369138022","376685","1980-10-16","164259000"
"98027166314","2121161058","510681","1995-12-28","299139000"
"13739733532","17ج891","747407","1998-01-03","237886000"
"13739733532","31ج602","120120","1980-07-22","171076000"
"13739733532","53ی767","169961","2016-11-08","142199000"
"10222066875","9851949540","610649","2015-11-14","431003000"
"10222066875","30و793","287085","1983-12-24","78601000"
"10222066875","28ی491","763173","1972-08-02","243860000"
"20319227290","4159642587","492813","1980-04-09","194885000"
"60220979562","55ج012","164182","2004-05-29","229694000"
"60220979562","75س140","397468","1974-05-03","318635000"
"23565962416","51ب393","858472","1972-12-16","188040000"
"23565962416","10و585","631173","1993-01-12","78160000"
"23565962416","99ط055","796623","2003-10-18","96676000"
"26304341024","8102186070","225421","2001-11-14","268462000"
"26304341024","3523314721","458132","2013-01-26","156160000"
"26304341024","14ب724","115901","1996-01-27","242284000"
"26304341024","56ق722","132044","2015-02-21","396391000"
"31713025358","7064364391","166588","1992-02-17","716462000"
"31713025358","7830331502","888414","1994-04-22","131280000"
"31713025358","85ط803","652569","1991-09-20","341998000"
"71708835034","7754360302","369584","1983-01-15","309323000"
"71708835034","36و339","230452","1973-05-22","145610000"
"36888307046","9066105019","951352","2007-12-28","264794000"
"36888307046","8564968924","804087","1974-09-04","756408000"
"36888307046","86ط364","437243","1980-12-18","151796000"
"36888307046","32ر269","500037","1976-08-01","242899000"
"96775888754","2539830837","220541","1971-11-29","659125000"
"96775888754","4694688979","255448","1985-06-26","189572000"
"96775888754","95ب241","592366","2017-07-11","88202000"
"72771655240","7412997897","809599","1983-01-03","376338000"
"72771655240","4085695335","144178","1972-03-18","446924000"
"72771655240","49ط468","415462","1979-06-25","53903000"
"99571847996","13ج341","302610","1989-06-16","159240000"
"25825961420","36ط429","985230","2014-09-10","55292000"
"17249793541","80س935","995503","1983-11-09","343873000"
"25356007284","93و027","861580","2008-03-02","148193000"
"57460962922","5982722569","698493","1999-03-14","371347000"
"57460962922","10ج778","714244","1995-10-27","349768000"
"39194925207","43ی171","759931","1982-04-20","325465000"
"12985179871","8195554439","831897","2009-02-23","238796000"
"12985179871","88ط616","792343","1974-09-27","335412000"
"21807813334","2471069166","109788","1992-12-18","313127000"
"21807813334","5812373737","755818","1973-03-13","150953000"
"21807813334","13ط549","275730","1981-03-07","159715000"
"21807813334","21ج229","633585","2003-02-25","291877000"
"72585200461","3021316910","388053","1973-07-27","511572000"
"72585200461","9397120529","574230","1989-07-03","726244000"
"72585200461","93ج026","382652","1983-08-18","97885000"
"72585200461","57ط961","658963","2019-05-10","375312000"
"72585200461","65ب494","323444","1993-11-13","240333000"
"47422649045","5124163368","483893","1989-11-08","599634000"
"47422649045","3493609425","737690","1983-09-26","237297000"
"47422649045","89ق335","739828","2012-11-03","178950000"
"47422649045","46ب975","991111","2010-05-27","283778000"
"47422649045","58ج622","609309","2005-06-20","83803000"
"53233735329","11ق480","551175","1986-07-02","291934000"
"53233735329","70ق786","866935","1994-11-13","392880000"
"53233735329","25ق419","565915","1991-07-07","163500000"
"92649143739","57ب545","780587","2015-09-15","263476000"
"92649143739","44ق717","939823","1982-02-14","361897000"
"47231466974","7408361201","211866","1978-12-29","762832000"
"47231466974","2307887311","840883","2000-05-20","516619000"
"82695041853","3619269100","153255","1976-11-13","340488000"
"82695041853","3000608433","366020","2017-05-06","386862000"
