ایلیا,هنری,73308229977,2011-07-05,روستای مهدیس,لوله سازي اهواز,
دانيال,رسته,39118873363,1970-01-04,دهستان علی اصغر,سایپا شیشه,
رها,هنری,69549578547,1976-11-21,روستای مهسا,فراورده هاي لبني پاکسار ساري,
آرین,ضرغامی,17990981120,1978-01-25,جنوب سبحان,صنعتی صبوران پلیمر,
هلیا,رسولی,14192621532,1978-10-29,غرب نيايش,گروه مواد و محصولات دارويي,
آراد,تهرانی,71508538885,1990-02-14,بندر هلیا,گروه ساخت قطعات خودرو,
سجاد,همدانی,99712420608,1991-10-09,شهر اميرعباس,کشت و دام قیام اصفهان,
زهرا,ایروانی,57911826585,1983-01-16,شمال عسل,باما,
سینا,فرجی,89876902375,2019-06-01,باغات آیناز,زغال سنگ البرز شرقی,
زینب,حریریان,64743909646,1990-12-22,روستای ياسين,اروم آدا,
علی,زمانی,18855926226,1971-05-06,شهرستان ريحانه,حمل و نقل خدمات دریایی آبادان,
آرش,موحد,20569697106,2010-02-26,روستای آوا,گروه مواد و محصولات دارويي,
اسرا,زارع,22819565968,1979-10-02,استان محدثه,ساروج بوشهر,
حنانه,مجتبوی,76923450385,2009-06-05,غرب ريحانه,فرش مشهد,
ملیكا,علی پور,86229157422,2009-01-29,روستای محمدرضا,کابل تک,
ايليا,صارمی,41030418859,1993-06-25,باغات ياسمين,قاچاقچی,
احسان,ولاشجردی,94961020209,1997-03-12,شهر يسنا,کارتن مشهد,
الناز,ظفری,36098449186,1999-05-08,دهستان محمدياسين,سیمان لامرد,
محمدجواد,کمالی,61063287475,1984-04-12,شهر زینب,کشت وصنعت روژین تاک,
حنانه,معروف,53899900671,1971-12-05,شرق محمدجواد,تجهيز نيروي زنگان,
احسان,پارسا,43981625383,1971-07-11,بندر فاطمياسارينا,داروسازی بهوزان,
عرشیا,گلپایگانی,65031603714,1991-07-28,جنوب هانیه,صنايع چوب خزر کاسپين,
رقیه,جعفر پور,58333689461,1988-05-30,شمال عباس,گروه كاشي و سراميك,
محمد,سغیری,97635489211,2008-03-05,دهستان عرفان,سرمايه گذاري صنعت بيمه,
کيانا,دایی,62523106098,1978-04-17,بندر مریم,كارخانجات صنعتي  و توليدي اتمسفر,
هلیا,منصوری,56837185075,2015-07-02,شهر محمدامین,تکنیک,
محمدیاسین,پارسا,66287568073,2015-01-03,شهر اميرمحمد,گروه منسوجات,
عسل,علیجانی,82248332854,1976-01-31,دهستان محمدحسین,صنایع چوب و کاغذ مازندران,
محيا,جلیلی,58103269906,2014-02-14,شمال ثنا,صنایع نئون پرس,
هليا,کابلی,24606704338,1990-02-18,جنوب كیانا,تولی‌پرس,
آریا,کرمانی,63701326876,1995-10-06,جنوب یگانه,پتروشیمی فن آوران,
سبحان,شادروان,61272224320,1992-04-10,شهر حسین,كمپر سور سازي ايران,
محمدحسين,ابوطالبی,11027042969,1982-04-02,استان اميرمهدي,كارخانجات صنعتي  و توليدي اتمسفر,
طاها,پویان,54299031268,1979-09-07,باغات علي,هلدینگ دامپروری شیروگوشت پارس,
حلما,نوروزی,31644784414,1996-07-28,روستای امیرمحمد,گروه شرکتهای مشاوره,
هلیا,ترکاشوند,71611042799,1972-06-11,استان هستي,سيمان اردبيل و آهك آذرشهر,
ثنا,بهمنی,46688379325,2011-09-09,غرب محمدمهدي,شهداب,
محمدمهدي,مهدیان,70391084421,1981-07-28,شهر آتنا,توسعه نفت وگاز مپنا,
كیان,چنگیزی,46439029684,1986-06-28,بندر نازنین,سرمايه گذاري صنعت بيمه,
امیرعباس,مجتبوی,99381009043,2014-11-02,روستای نرگس,توليدي قطعات محوري خراسان,
عليرضا,اشرفی,91232832368,1975-02-22,جنوب مليکا,كارخانجات توليدي سوپر رنگ,
بنيامين,کابلی,52553502087,2004-01-06,جنوب محمد,مجتمع صنعتي آرتاويل تاير,
آراد,شاکری,73970868338,2001-11-03,غرب عرفان,آریا بارون توس,
نيايش,شمشیری,78189176199,1973-01-29,استان امیرعباس,سرمايه گذاري ساختمان نوین,
محیا,تهرانی,72905572132,1977-11-13,شهر نازنین زهرا,ساروج بوشهر,
محمدرضا,جعفر پور,78336815278,2018-07-02,شهر کوثر,مهندسی و ساخت بویلر مپنا,
علي,کریمی,29641976668,1999-06-29,غرب عسل,مجتمع شیر و گوشت مهدشت,
محمدامين,محمدی,95513813946,2002-07-28,روستای ثنا,صنايع شير ايلام زاگرس,
مريم,اکبر پور,70585948048,2009-02-19,شهر آریا,مس تکنار,
الينا,شبیری,29699358973,1975-05-19,جنوب آیناز,واحد فسفات اسفردی,
ابوالفضل,یزدی,65100275871,1983-03-09,شمال محمد,ایمان تجارت روشن,
آرين,هومن,45069409245,2003-04-29,غرب حسين,كارخانجات توليدي تهران,
اميرمحمد,محمدی,31149197438,1975-04-25,روستای هانيه,قند قهستان,
عليرضا,محجوب,99600842525,1992-06-29,روستای معصومه,مادیران,
علی اصغر,کابلی,82256485553,1971-07-29,دهستان آیناز,توليدي گاز لوله,
ستایش,سعیدی,85010136192,1970-11-20,شمال آتنا,ليزينگ آريادانا,
آوا,صارمی,35736169814,1993-08-06,شمال محمدعلي,سرمايه گذاري ساختمان نوین,
محمد مهدی,علی پور,10204798607,1986-11-23,شهر حسنا,توليدي  الياف پلي  پروپيلين  بنياد,
بنیامین,رسته,92336163097,1991-05-27,غرب اميرعباس,مجتمع فولاد خراسان,
ابوالفضل,سمسار,70345595795,2006-10-26,روستای محمد,توليد ژلاتين کپسول ايران,
سوگند,شاکری,86923974028,1996-05-29,شرق هانيه,لیزینگ شهر – لیزینگ سامان آریا,
كیان,میردامادی,56998774697,2016-02-02,بندر علي,ایرانسل,
آوا,محجوب,83149839038,1991-12-23,شهر یسنا,توسعه صنايع بهشهر – هلدينگ,
محدثه,محجوب,62831921827,2001-06-08,جنوب حلما,سایپا پرس,
آيلين,محجوب,75280054573,2013-01-30,باغات ماهان,تولیدی و صنعتی آبگینه,
بنيامين,منصوری,40382773874,1997-08-18,دهستان محمدجواد,گمرگ ایران,
حنانه,ایروانی,63505078967,2008-09-21,شهر علی اكبر,گروه گاز,
آيدا,رضا زاده,44629670513,1976-07-30,جنوب امیرمهدی,گروه بیمه,
علی اصغر,اشرفی,58418744542,1978-06-04,شهر آتنا,هلدینگ توسعه معادن و صنایع معدنی خاورمیانه,
حسنا,سماوات,26142648665,1996-10-01,استان امیرحسین,من,
ابوالفضل,علی پور,53682120268,1983-05-20,شمال ماهان,مهندسی بازرگانی درداران سریر,
محمدعلي,شادروان,80467177968,2005-08-28,استان اسما,صنايع كاغذ سازي كاوه,
سجاد,پویان,53510877272,1992-02-24,شهرستان سارا,شاتل,
اميرعلي,نعمتی,30349476018,2015-03-11,شهرستان ياسين,ایران خودرو دیزل,
مبين,طلوعی,84625891104,1972-08-02,جنوب اسما,داملران,
آرتين,فرجی,67158794522,2014-08-11,شهر بنیامین,گچ تهران,
آرش,کمالی,59749458830,1982-06-01,غرب مهسا,گروه كارخانه هاي توليدي نورد آلومينيوم,
سارینا,یزدی,57899449666,1976-04-19,دهستان پرنيا,زامياد,
رقیه,اکبر پور,30852795827,2004-04-21,روستای عسل,گروه شركتهاي چند رشته اي صنعتي,
ستايش,سعیدی,54575149360,1973-03-05,جنوب بهار,امیدان تجارت کیش ,
آوا,عباسی,53646490275,1970-10-12,شهر آرش,لوله سازي اهواز,
آريا,کمالی,63542270337,1974-05-26,شهر علی اصغر,توکا رنگ فولاد سپاهان,
محمدجواد,پارسا,29870104409,1977-08-21,باغات حلما,امداد خودرو سایپا,
آيدا,ایروانی,67422790093,1985-08-09,دهستان آرش,قند نيشابور,
النا,ضابطی,26787640276,1999-02-12,غرب پارسا,داروئي ارايشي وبهداشتي مينو,
نازنين,نعمتی,20447896036,1979-06-01,باغات زهرا,كربن ايران,
مبینا,دایی,20857603350,1986-04-25,شرق الینا,توسعه برق شمال افشان گستر,
زهرا,دایی,73620210038,1977-05-03,بندر آتنا,مجتمع صنعتي آرتاويل تاير,
یسنا,ابوطالبی,12757122428,2009-08-23,غرب عسل,گروه حمل و نقل، انبارداری و ارتباطات,
مليکا,ربانی,51602399045,2009-10-15,باغات حلما,قاچاقچی,
عليرضا,ملکیان,17403995303,2009-01-21,استان الينا,توسعه معادن روي ايران,
ريحانه,جنتی,99484502339,2012-08-16,شرق محمدرضا,گمرگ ایران,
اسرا,ولاشجردی,68754724706,2016-02-17,بندر ایلیا,پتروشیمی جهرم,
مهدیس,تنزیلی,17088162696,1972-09-30,غرب مریم,داروسازي دكتر عبيدي,
الناز,زارعی,11044567215,2006-12-31,شهر مریم,کالای پمپ,
آيدا,دایی,19491519331,1976-04-15,بندر محدثه,گسترش سرمایه گذاری ایرانیان,
آرش,دادفر,76476204362,1992-06-23,دهستان حنانه,ایران یاسا,
علی اصغر,نوری,17677030590,1979-08-20,روستای سارا,تهران شيمي,
آيدا,وثاق,34680121226,1990-02-03,باغات فاطمه,آلفا پاک ایران,
مائده,موحد,35200442907,1979-05-27,باغات محمدامین,مهندسی و ساخت بویلر مپنا,
آتنا,پارسا,72341748159,2017-10-04,شمال محيا,حمل و نقل خدمات دریایی آبادان,
آريا,ترکاشوند,32860166947,1997-08-13,دهستان محمدپارسا,مهندسی و ساخت توربین مپنا توکا,
پارسا,اکبر پور,54168673497,2017-02-24,دهستان اسما,سوژميران,
سارا,اشتری,66122313830,1990-05-14,باغات كیان,صنایع پتروشیمی ایران,
آرین,طلوعی,56715184521,2016-05-01,دهستان سارا,فولاد مباركه اصفهان,
آيناز,معروف,78956502809,1989-09-27,جنوب اميرعباس,صنعتی کشاورزی شیرین خراسان,
آوا,بهرامی,37117792528,1983-03-18,شهرستان حسین,مهندسی فرا نیرو,
اسما,ملکیان,94208128370,1976-06-18,دهستان حنانه,كابلهاي مخابراتي شهيد قندي,
مائده,روحانی,27332175961,1976-03-20,روستای سوگند,بیمه نوین,
حسام,زمانی,75675219556,2004-07-31,شهر محمدياسين,سيمان اروميه,
سوگند,شاکری,55744005008,2009-06-27,بندر معصومه,پارس خزر,
فاطمه,صیادی,57474893940,1980-12-20,شهر علی اكبر,سرمايه گذاري بوعلي,
اسرا,زارع,96322436769,2015-06-06,غرب محمدرضا,سرمایه گذاری توسعه  الوند غدیر,
فاطمه,معین,77796797907,1990-11-28,دهستان اسرا,سيمان شمال,
حسین,ظفری,41230465627,2002-10-04,استان كیان,صنایع نئون پرس,
معصومه,حسنی,72155669611,1990-07-22,شمال آیدا,مهندسی فرسار تجارت,
اميرعلي,نامور,98245463785,1993-12-09,دهستان محدثه,توکا رنگ فولاد سپاهان,
سبحان,کابلی,83853585906,1976-07-21,شهرستان پرهام,شرکت ملی نفت‌کش ایران,
فاطمه,موسوی,33779780364,1984-05-06,شرق آریا,كارخانجات توليدي تهران,
نرگس,هنری,38490088978,1981-11-17,استان آرين,فرتاک ماشین,
ساميار,وثاق,13763509104,1991-03-08,جنوب مريم,صنعتی دریایی ایران – صدرا,
سارینا,مجتهدی,65970781718,1998-10-26,شهرستان علي,تهران شيمي,
الناز,عبدالمالکی,34221465672,2010-12-11,شرق اميرعلي,صنايع شيميايي رنگين,
حلما,کابلی,36350571882,1979-03-31,شهرستان نازنین زهرا,واحد فسفات اسفردی,
ریحانه,زمانی,10948864594,1982-01-05,بندر مبینا,فرو سيليس ايران,
بهار,موسوی,80298589611,2002-07-23,روستای محمدحسین,پالایش نفت آبادان,
آرتین,لاچینی,91668772558,2016-02-29,بندر عرفان,سنگ آهن شرق,
مبینا,مجتهدی,76882843587,1987-02-04,جنوب حسام,قاچاقچی,
کيانا,هوشیار,35284249166,1971-04-02,باغات كوثر,توکا رنگ فولاد سپاهان,
یوسف,حسنی,45765533573,1998-12-18,باغات نازنين,تجارت الكترونيك پارسيان,
اميررضا,علی پور,82072435661,1979-04-09,شرق محمدياسين,صنايع كاغذ سازي كاوه,
عرشیا,زمانی,82244324703,2001-04-29,شهرستان علی اكبر,بانک ملت,
دانیال,نامور,86108325542,1984-02-02,جنوب عرفان,صنعتی صبوران پلیمر,
پارسا,تهرانی,26904268924,1998-07-23,دهستان مهدي,ره  گستر نفت,
آوا,نوروزی,23876985148,1970-05-08,شمال ثنا,پتروشیمی  زاگرس,
محمدپارسا,ظفری,95263233415,1973-04-29,استان علی رضا,نیکان شهد بارز,
دانيال,اشرفی,50069517812,1986-09-18,شهرستان محمدرضا,ایمان تجارت روشن,
مبين,عباسی,61522371739,1993-02-11,جنوب پرنيا,داروئي ارايشي وبهداشتي مينو,
ملیكا,سلطانی,10916364088,2002-02-08,استان باران,مادیران,
محمدحسین,معین,18931891871,2005-08-12,استان آريا,توسعه فناوری اطلاعات خوارزمی,
محمد طاها,پویان,88632844473,1980-07-17,بندر آرمین,ليزينگ آريادانا,
سبحان,خسروجردی,34242680351,1998-01-01,باغات آرش,توليد ژلاتين کپسول ايران,
متين,جلیلی,97065079649,2007-02-08,شمال علی,گروه انبوه سازي، املاك و مستغلات,
نرگس,زارع,99247943742,1999-05-06,شهر دانیال,آريا الكترونيك ايران,
آرمین,ظفری,80792724941,2017-03-13,دهستان مهدیه,پالایشگاه نفت شیراز,
علي,شادروان,61704628554,2019-12-11,شمال مبینا,آونگان,
آتنا,نامور,28010113884,1995-12-02,بندر هانیه,مهندسی و مشاور سازه گستر سایپا,
امیررضا,الوندی,49534849253,1970-04-26,استان آریا,گروه محصولات چوبي,
محدثه,عزیزی,67022766592,2005-06-17,شهرستان محمد,صنعتي جنرال,
ماهان,وثاق,84640206995,1980-09-13,جنوب امیررضا,گروه حمل و نقل، انبارداری و ارتباطات,
نازنين,مجتبوی,69649517852,1998-10-16,شهر حدیث,سرمايه گذاري انديشه محوران,
یلدا,خسروجردی,65166590817,1983-07-14,شهرستان سبحان,پارس سرام,
الینا,عباسی,49990863532,2013-03-24,شهرستان نیما,ایمان تجارت روشن,
محمدرضا,نوبختی,96196390955,2014-01-11,شمال آيدا,سرمايه گذاري بوعلي,
ساميار,ربانی,22385526156,1977-03-02,بندر طاها,قاچاقچی,
محمدیاسین,زنجانی,46858874113,1971-04-18,شهر مائده,گروه صنعتي قطعات اتومبيل ايران,
ثنا,تحسینی,86059785550,1978-10-10,روستای فاطمه زهرا,مهندسي تكنو تار,
طاها,اشتری,34225458367,1971-05-16,استان اسما,سیمان لامرد,
محمدپارسا,تنزیلی,70091683919,2009-07-09,شرق هستی,پست بانک,
مهديس,جنتی,69630919100,1983-02-20,جنوب سوگند,صنايع شير ايلام زاگرس,
معصومه,سغیری,42172999450,1997-09-11,باغات احسان,پتروشیمی بیستون,
یسنا,ملکیان,27050633317,1997-03-26,شهرستان ماهان,توسعه صنايع بهشهر – هلدينگ,
آیلین,صارمی,13101710776,1976-02-15,روستای مبين,سيمان تهران,
محمدیاسین,عباسی,52369103323,1990-08-18,شمال محیا,بانک حکمت ایرانیان,
بهار,رسته,67108542682,2018-07-11,دهستان اميرعباس,شرکت مخابرات ایران,
محمد,تحسینی,73250149898,1975-11-13,شهرستان رقيه,پارس نور الکتریک,
علي,شبیری,94870946353,1970-05-31,بندر آيدا,داده های رسا,
عباس,هدایت,18269932249,1982-10-22,روستای هلیا,صنایع کاشی و سرامیک الوند,
ستایش,علی پور,72938128050,2011-05-08,جنوب نیما,توسعه معادن روي ايران,
مریم,عباسی,87736398544,2016-12-20,جنوب ماهان,سرمايه گذاري ساختمان نوین,
علي,معروف,56095292939,1986-09-25,شهرستان مائده,گروه شرکت های مشاوره تبلیغاتی,
رضا,مجتبوی,35753843438,1992-07-24,استان احسان,اتکا,
آوا,زارع,69081921900,1988-03-20,شمال باران,قاچاقچی,
حسین,شمشیری,72404930905,2017-01-29,بندر حنانه,شيمي دارويي داروپخش,
مهديس,محمدی,78837823685,1990-11-12,شرق ايليا,دانیال کار,
یلدا,اکبر پور,91801508317,2012-01-15,شرق علی,موننکو ایران,
مائده,هاشمی,42376739574,1990-12-25,شمال اميرعلي,صنايع شيميايي سينا,
حنانه,شمشیری,11901371150,2002-09-23,دهستان پریا,قاچاقچی,
اميرحسين,کابلی,67461344504,1983-05-05,شمال پرنيا,صنايع شيميايي رنگين,
فاطمه,بهمنی,61978287510,1986-03-27,دهستان محمدحسين,قاچاقچی,
مائده,صارمی,55892095401,1973-10-11,دهستان محمد طاها,معدن کاران انگوران,
ملیكا,عباسی,22897717013,2018-01-31,شرق آریا,كيوان,
محيا,سلطانی,78347484460,2001-12-02,شرق مهدیس,كربن ايران,
آرین,صنایعی,76572646166,1978-05-31,باغات طاها,سیمان قشم,
پارسا,یزدی,69356279567,1999-12-14,بندر آتنا,توليدي  الياف پلي  پروپيلين  بنياد,
سارینا,زارعی,47902004320,1982-07-04,دهستان كیان,شکر شاهرود,
هستی,الوندی,16018042764,1996-08-18,روستای کيانا,گروه سیمان,
علی اكبر,حسنی,91644238031,1999-03-04,شمال احسان,آجر نسوز امين آباد,
علي,پارسا,39399450459,1997-08-05,شهر اسما,پتروشیمی امیرکبیر,
پرهام,کرمانی,36679085716,1982-11-10,جنوب اميررضا,صنایع نخ خمین,
اسرا,کریمی,26851860773,1999-12-18,شهرستان محمدياسين,ایران گچ,
حسام,شمشیری,69012010041,1994-08-26,غرب آرمين,تولیدی توس چینی,
مبین,پارسا,12928611196,1978-01-24,استان باران,آفا شیمی,
ملیكا,هاشمی,50706142706,1998-09-03,روستای هانيه,جهان فعالیت,
محمدجواد,جلالی,72163466110,1995-08-25,استان علی رضا,توسعه صنايع بهشهر – هلدينگ,
یاسین,دایی,20718369466,1989-08-26,شرق عرفان,ويتانا,
ياسمين,لاچینی,83296164861,1981-03-17,بندر اسما,تولي پرس,
